"識別碼","filename","unz","imbiau"
1,"blwr00000","觀世音菩薩","guan1_se3_im1_po5_sat7"
2,"blwr00001","驚ga刺激著","giann1_ga2_ci3_gik7_diorh6"
3,"blwr00002","藥檢實驗室","iorh6_giam4_sit6_qiam2_sik7"
4,"blwr00003","藝術工作者","qe2_sut6_gang1_zok7_zia4"
5,"blwr00004","職業登記證","zit7_qiap6_ding1_gi3_zing3"
6,"blwr00005","講天說皇帝","gong4_tinn1_suat7_hong5_de3"
7,"blwr00006","濟某無通睏","ze2_vo4_vor5_tang1_kun3"
8,"blwr00007","優先承租權","iu1_sen1_sing5_zo1_kuan5"
9,"blwr00008","隨人顧性命","sui5_lang5_go3_senn3_mia2"
10,"blwr00009","辦家姑伙仔","ban2_ge1_go1_hue4_a4"
11,"blwr00010","違章建築戶","ui5_ziong1_gen3_diok6_ho2"
12,"blwr00011","經營新中原","ging1_ing5_sin1_diong1_quan5"
13,"blwr00012","會食未討趁","e2_ziah6_ve2_tor4_tan3"
14,"blwr00013","愈來愈深刻","lu4_lai5_lu4_cim1_kik7"
15,"blwr00014","慈濟醫學院","zu5_ze3_i1_hak6_inn2"
16,"blwr00015","意外傷害險","i3_qua2_siong1_hai2_hiam4"
17,"blwr00016","嫁粧一牛車","ge3_zng1_zit6_qu5_cia1"
18,"blwr00017","無樣家己想","vor5_iunn2_ga1_di2_siunn2"
19,"blwr00018","棒球新樂園","bang2_giu5_sim1_lok6_hng5"
20,"blwr00019","教會羅馬字","gau3_hue2_lor5_ma4_ri2"
21,"blwr00020","專文討論冊","zuan1_vun5_tor4_lun2_ceh7"
22,"blwr00021","做賊喝掠賊","zor3_cat6_huah7_liah6_cat6"
23,"blwr00022","骨質疏鬆症","gut7_zit7_so1_sang1_zing3"
24,"blwr00023","唐山過台灣","dng5_suann1_gue3_dai5_uan5"
25,"blwr00024","冤去佗位去","uan1_ki3_dor4_ui2_ki3"
26,"blwr00025","看久緣就浮","kuann3_gu4_en5_dorh6_pu5"
27,"blwr00026","按怎du按怎","an4_zuann4_du4_an4_zuann4"
28,"blwr00027","保安司令部","bor4_an1_su1_ling2_bo2"
29,"blwr00028","青春少年時","cing1_cun1_siau3_len5_si5"
30,"blwr00029","你有當時a","li4_u2_dang3_si5_a2"
31,"blwr00030","百分之三十","bah7_hun1_zi1_sann1_zap6"
32,"blwr00031","百分之十二","bah7_hun1_zi1_zap6_ri2"
33,"blwr00032","好酒沈甕底","hor4_ziu4_dim5_ang3_de4"
34,"blwr00033","同君一席話","dong5_gun1_it7_sik6_ue2"
35,"blwr00034","皮愛denn卡an","pue5_ai3_denn3_kah7_an5"
36,"blwr00035","民主進步黨","vin5_zu4_zin3_bo2_dong4"
37,"blwr00036","平行四邊形","bing5_hing5_si3_binn1_hing5"
38,"blwr00037","歹鬼母cua頭","painn4_gui4_vu4_cua2_tau5"
39,"blwr00038","心涼脾肚開","sim1_liang5_bi5_do4_kui1"
40,"blwr00039","中國共產黨","diong1_gok7_giong2_san4_dong4"
41,"blwr00040","大事化小事","dua2_su2_hua3_sior4_su2"
42,"blwr00041","乞食趕廟公","kit7_ziah6_guann4_vior2_gong1"
43,"blwr00042","三不五時仔","sam1_but7_qo2_si5_a2"
44,"blwr00043","二二八事件","qi2_qi2_bat7_su2_giann2"
45,"blwr00044","一級管制區","it7_gip7_guan4_ze3_ku1"
46,"blwr00045","veh創啥麼leh","veh7_cong3_siann4_mih7_leh7"
47,"blwr00046","teh幾sen仔錢","teh6_gui4_sen4_a4_zinn5"
48,"blwr00047","m知影人去","m2_zai1_iann4_lang5_ki3"
49,"blwr00048","ka現場電話","ka3_hen2_diunn5_den2_ue2"
50,"blwr00049","ho逐個失望","ho2_dak6_e5_sit7_vong2"
51,"blwr00050","dng印鑑印仔","dng3_in3_gam3_in3_a4"
52,"blwr00051","1983年","it6_giu4_bak6_sam1_ni5"
53,"blwr00052","讀來讀去","tak6_lai5_tak6_ki3"
54,"blwr00053","歡歡喜喜","huann1_huann1_hi4_hi4"
55,"blwr00054","鐵口直斷","tih7_kau4_dit6_duan2"
56,"blwr00055","飄飄欲仙","piau1_piau1_iok6_sen1"
57,"blwr00056","關貿總協","guainn1_vo2_zong4_hiap6"
58,"blwr00057","懷念之歌","huai5_liam2_zi1_gua1"
59,"blwr00058","雙雙對對","siang1_siang1_dui3_dui3"
60,"blwr00059","鎮暴警察","din3_bok6_ging4_cat7"
61,"blwr00060","檳榔糖仔","bin1_nng5_tng5_a4"
62,"blwr00061","點點滴滴","diam4_diam4_dih7_dih7"
63,"blwr00062","黏結作伙","liam5_get7_zorh7_hue4"
64,"blwr00063","講漸漸deh","gong4_ziam2_ziam2_deh7"
65,"blwr00064","講會出來","gong4_e2_cut7_lai5"
66,"blwr00065","營養午餐","ing5_iong4_ngo4_can1"
67,"blwr00066","應變能力","ing3_ben3_ling5_lik6"
68,"blwr00067","頭暈目暗","tau5_hin5_vak6_am3"
69,"blwr00068","隨身所欲","sui5_sin1_so4_iok6"
70,"blwr00069","選來選去","suan4_lai5_suan4_ki3"
71,"blwr00070","親情五十","cin1_ziann5_qo2_zap6"
72,"blwr00071","磨磨了了","vua5_vua5_liau4_liau4"
73,"blwr00072","樹乳索仔","ciu2_ling1_sorh7_a4"
74,"blwr00073","橫行霸道","huainn5_hing5_ba3_dor2"
75,"blwr00074","調撥車道","diau3_buah7_cia1_dor2"
76,"blwr00075","調查局長","diau5_za1_giok6_diunn4"
77,"blwr00076","罵罵嚷嚷","me2_me2_riang4_riang4"
78,"blwr00077","確確實實","kak7_kak7_sit6_sit6"
79,"blwr00078","慧心不遠","hui2_sim1_but7_uan4"
80,"blwr00079","層層疊疊","ding5_ding5_tah6_tah6"
81,"blwr00080","寫會出來","sia4_e2_cut7_lai5"
82,"blwr00081","寫毛筆字","sia4_mo5_bit7_ri2"
83,"blwr00082","嘴笑目笑","cui3_cior3_vak6_cior3"
84,"blwr00083","嘴da舌燥","cui3_da1_zih6_sor3"
85,"blwr00084","輕聲細說","kin1_siann1_se3_sueh7"
86,"blwr00085","福澤諭吉","hok7_dik6_ru2_get7"
87,"blwr00086","漏氣漏dak","lau3_kui3_lau2_dak7"
88,"blwr00087","農保條例","long5_bor4_diau5_le2"
89,"blwr00088","跳來跳去","tiau3_lai5_tiau3_ki3"
90,"blwr00089","路糊仔糜","lo2_go5_a4_mue5"
91,"blwr00090","腰酸背痛","ior1_sng1_bue2_tiann3"
92,"blwr00091","經腳絆手","genn1_ka1_buan3_ciu4"
93,"blwr00092","溜溜鬚鬚","liu1_liu1_ciu1_ciu1"
94,"blwr00093","會無去a","e2_vor5_ki3_a2"
95,"blwr00094","新竹客運","sin1_dik7_keh7_un2"
96,"blwr00095","新年快樂","sin1_ni5_kuai3_lok6"
97,"blwr00096","搖嬰仔歌","ior5_enn1_a4_gua1"
98,"blwr00097","愈來會愈","lu4_lai5_e2_lu4"
99,"blwr00098","想空想縫","siunn2_kang1_siunn2_pang2"
100,"blwr00099","感慨萬千","gam4_kai3_van2_cen1"
101,"blwr00100","奧林匹克","or3_lim5_pit7_kik7"
102,"blwr00101","傳來傳去","cuan5_lai5_cuan5_ki3"
103,"blwr00102","亂七八糟","luan2_ci2_ba1_zau1"
104,"blwr00103","集合起來","zip6_hap6_ki4_lai5"
105,"blwr00104","陽明醫院","iang5_ving5_i1_inn2"
106,"blwr00105","越來越去","uat6_lai5_uat6_ki3"
107,"blwr00106","絕對m是","zuat6_dui3_m2_si2"
108,"blwr00107","朝野立委","diau5_ia4_lip6_ui4"
109,"blwr00108","朝野人士","diau5_ia4_qin5_su2"
110,"blwr00109","普通時仔","po4_tong1_si5_a4"
111,"blwr00110","敢有同意","gam4_u2_dong5_i3"
112,"blwr00111","富鄉土味","hu3_hiong1_to4_vi2"
113,"blwr00112","單打獨鬥","dan1_dann4_dok6_dau3"
114,"blwr00113","喝定dorh定","huah7_diann2_dorh6_diann2"
115,"blwr00114","鳥為食亡","ziau4_ui2_sit6_vong5"
116,"blwr00115","陸陸續續","liok6_liok6_siok6_siok6"
117,"blwr00116","陳腔濫調","din5_giunn1_lam2_diau2"
118,"blwr00117","郭李建夫","gueh7_li4_gen3_hu1"
119,"blwr00118","被保險人","bi2_bor4_hiam4_rin5"
120,"blwr00119","粗粗魯魯","co1_co1_lo4_lo4"
121,"blwr00120","清清楚楚","cing1_cing1_cor4_cor4"
122,"blwr00121","問東問西","mng2_dang1_mng2_sai1"
123,"blwr00122","唱片公司","ciunn3_pinn3_gong1_si1"
124,"blwr00123","高層人士","gor1_zan5_qin5_su2"
125,"blwr00124","閃閃sihsih","siam4_siam4_sih7_sih7"
126,"blwr00125","草尾仔蛇","cau4_vue4_a4_zua5"
127,"blwr00126","茫茫緲緲","vang5_vang5_viau4_viau4"
128,"blwr00127","航太科學","hang5_tai3_kor1_hak6"
129,"blwr00128","烏金烏金","o1_gim1_o1_gim1"
130,"blwr00129","格格不入","geh7_geh7_but7_rip6"
131,"blwr00130","家破人亡","ga1_por3_lin5_vong5"
132,"blwr00131","修修剪剪","siu1_siu1_zen4_zen4"
133,"blwr00132","借問一下","ziorh7_mng2_zit6_e2"
134,"blwr00133","負擔會起","hu2_dam1_e2_ki4"
135,"blwr00134","政治責任","zing3_di2_zik7_rim2"
136,"blwr00135","拭拭buannbuann","cit7_cit7_buann3_buann3"
137,"blwr00136","後禮拜六","au2_le4_bai3_lak6"
138,"blwr00137","南沙群島","lam5_sua1_gun5_dor4"
139,"blwr00138","金馬撤軍","gim1_ma4_tet7_gun1"
140,"blwr00139","金屋藏嬌","gim1_ok7_zong5_giau1"
141,"blwr00140","表達意見","biau4_dat6_i3_gen3"
142,"blwr00141","爭來爭去","zenn1_lai5_zenn1_ki3"
143,"blwr00142","拖拖入來","tua1_tua1_rip6_lai5"
144,"blwr00143","拍會起來","pah7_e2_ki4_lai5"
145,"blwr00144","拔刀相助","buat6_dor1_siong1_zo2"
146,"blwr00145","所接觸著","so4_ziap7_ciok7_diorh6"
147,"blwr00146","所作所為","so4_zok7_so4_ui2"
148,"blwr00147","和平公園","hor5_bing5_gong1_huinn5"
149,"blwr00148","辛辛苦苦","sin1_sin1_ko4_ko4"
150,"blwr00149","足qau流汗","zok7_qau5_lau5_guann2"
151,"blwr00150","投hit個票","dau5_hit7_e5_pior3"
152,"blwr00151","抄抄寫寫","cau1_cau1_sia4_sia4"
153,"blwr00152","尿酸過多","lior2_sng1_gue3_dor1"
154,"blwr00153","吵吵鬧鬧","ca4_ca4_nau2_nau2"
155,"blwr00154","免疫系統","ven4_ik6_he2_tong4"
156,"blwr00155","伴我一生","puann2_qua4_it7_sing1"
157,"blwr00156","有樣學樣","u2_iunn2_orh6_iunn2"
158,"blwr00157","地窄人稠","de2_eh6_lang5_diu5"
159,"blwr00158","地下坑道","de2_ha2_kenn1_dor2"
160,"blwr00159","各式各樣","gorh7_sik7_gorh7_iunn2"
161,"blwr00160","冰凍三尺","bing1_dong3_sam1_ciorh7"
162,"blwr00161","交響樂團","gau1_hiang4_qak6_tuan5"
163,"blwr00162","立體空間","lip6_te4_kong1_gan1"
164,"blwr00163","白頭ket仔","beh6_tau5_ket7_a4"
165,"blwr00164","白飯粒仔","beh6_bng2_liap6_a4"
166,"blwr00165","生活佛法","sing1_uah6_hut6_huat7"
