"識別碼","客語詞","客語音標"
1,"蛤蟆頦吊算盤","ha5_ma5_goi1_diau3_son3_pan5"
2,"lam馬也有一踢","lam2_ma1_ya7_yiu1_yit4_tet4"
3,"死佬都無恁重","si2_lo2_du3_mo5_an2_cung1"
4,"裨較闊兜仔","bi1_ka3_fat4_deu1_e2"
5,"劖著鐵釘仔","cam5_do2_tiet4_dang1_e2"
6,"七仔好過八","cit4_e2_hau3_go3_bat4"
7,"杖仔顛倒拄","cong2_e2_dien1_do3_ku2"
8,"講該無字ge","gong2_ge3_mo5_sii7_ge3"
9,"毋打毋相識","m5_da2_m5_siong1_siit4"
10,"尾都拂起來","mi1_du3_vit8_hi2_loi5"
11,"五路行透透","ng2_lu7_hang5_teu3_teu3"
12,"日頭昃走哩","ngit4_teu5_zet4_zeu2_le2"
13,"肥累肥累仔","pi5_lui1_pi5_lui1_e2"
14,"身屍骨頭末","siin1_sii1_gut4_teu5_mat8"
15,"十步九回頭","siip8_pu7_giu2_fi5_teu5"
16,"一下仔定定","yit4_ha7_e2_tin7_tin7"
17,"紙包火毋核","zii2_bau1_fo2_m5_het8"
18,"證券交易所","ziin3_kien3_gau1_yit8_so2"
19,"椏椏桍桍","a1_a1_kua2_kua2"
20,"唉唉唚唚","ai1_ai1_zip8_zip8"
21,"暗摸摸仔","am3_mo1_mo1_e2"
22,"暗箭難防","am3_zien3_nan5_fong5"
23,"罌甕缽頭","ang1_vung3_bat4_teu5"
24,"閼捽捽仔","at4_cut8_cut8_e2"
25,"拗斷腳骨","au2_ton1_giok4_gut4"
26,"疤哩疤ngai","ba1_li5_ba1_ngai7"
27,"背孲nga仔","ba5_o5_nga3_e2"
28,"拜細香山","bai3_se3_hiong1_san1"
29,"百科全書","bak4_ko1_cion5_su1"
30,"半信半疑","ban3_sin3_ban3_ngi5"
31,"逼生逼死","bet4_sang1_bet4_si2"
32,"裨加息仔","bi1_ga1_sit8_e2"
33,"杯盤碗筷","bi1_pan5_von2_kuai3"
34,"抨盆蹬缽","biang1_pun5_dem2_bat4"
35,"扁扁平平","bien2_bien2_piang5_piang5"
36,"繽bang褫扯","bin1_bang1_cii2_ca2"
37,"放晝放暗","biong3_zu3_biong3_am3"
38,"必壢必壢","bit4_lak4_bit4_lak4"
39,"報凶報急","bo3_hiung1_bo3_gip4"
40,"駁駁激激","bok4_bok4_git4_git4"
41,"幫加幫減","bong1_ga1_bong1_gam2"
42,"發coi發癤","bot4_coi5_bot4_ziet4"
43,"布唇綏忒","bu3_sun5_sui1_tet4"
44,"不知不覺","but4_di1_but4_gok4"
45,"跴跴踏踏","cai5_cai5_tap8_tap8"
46,"擦蘿蔔仔","cat4_lo5_pet8_e2"
47,"躁開來看","cau3_koi1_loi5_kon3"
48,"扯啊扯仔","ce2_a7_ce2_e2"
49,"層層疊疊","cen5_cen5_tiap8_tiap8"
50,"賊過閂門","cet8_go3_con1_mun5"
51,"超群出眾","ceu1_kiun5_cut4_zung3"
52,"瘦夾夾仔","ceu3_giap8_giap8_e2"
53,"霋躍躍仔","ci1_ciok4_ciok4_e2"
54,"謝天謝地","cia7_tien1_cia7_ti7"
55,"鍬鍬啊仔","ciau1_ciau1_a7_e2"
56,"千千萬萬","cien1_cien1_van7_van7"
57,"千跪萬跪","cien1_kui2_van7_kui2"
58,"切做兩析","ciet4_zo3_liong2_sak4"
59,"cii雞捋鴨","cii5_gie1_lot8_ap4"
60,"塵灰猛湧","ciin5_foi1_mang1_yiung2"
61,"直腸直肚","ciit8_cong5_ciit8_du2"
62,"尋蹤毋著","cim5_ziung1_m5_do2"
63,"清清楚楚","cin1_cin1_cu2_cu2"
64,"親朋好友","cin1_pen5_ho2_yiu1"
