"國語漢字","台語拼音","國語注釋"
"所看","so1-kuann3",
"所聽","so1-tiann1",
"所知","so1-zai1",
"彗星","hui3-sing1","通稱“掃帚星”（sau4-ciu-(cenn1/inn1)），又叫“長尾星”（dng2-(bhe1/bhue1)-cenn1），又喻為“歹星”（painn1-cenn1）。"
"伊是伊、我是我","i1-si3-i1-ghua4-si3-ghua4","他（她）是他（她）、我是我。"
"美國","bhi1-gok2","即U.S.A.。"
"下司","e3-si1","部下，“頂司”（ding-si1）的反義語，如“頂司管下司、鋤頭管糞箕”（ding1-si1-guan1-e3-si、(di2/du2)-tau5-guan1-bun4-gi1）喻一級管一級。"
"越愈…","uat3-ru1","更加，越…越…如“叫伊卡恬咧，伊越愈大聲”（gior4-i2-kah1-diam2-le0-i2-uat3-ru1-dua3-siann1）叫他安靜一點，他聲音反而更大。又“愈來越愈好款”（ru1-lai5-uat3-ru1-hor1-kuan4）越來越得寸進尺。"
"壟斷","(liong1/long1)-duan2","把持操-縱，掌控一切。"
"鐵枝","tih1-gi1","鐵筋，鐵軌，如“鐵枝〔仔〕路”（tih1-gi2〔a〕lo2）路軌。“火車行鐵枝仔路”（hue1-cia1-giann2-tih1-gi2-a1-lo2）火車走鐵軌。"
"神經過敏","sin2-ging1-gue4-bhin4",
"草蓆","cau1-ciorh1","“睏草蓆”（kun4-cau1-ciorh1）睡在草蓆上。草蓆又叫“蓆仔”（ciorh2-a4）。“捲草蓆”（gng1-cau1-ciorh1）貧苦者死後沒棺木用草蓆捲起來埋葬。"
"左營","zor1-iann5","在高雄市北郊。"
"李某","li1-bho4","某姓李的人。"
"烏白…","o2-beh1","胡亂…，“烏白講”（o2-beh3-gong4）亂講。"
"初二、三、…十","ce2-ri2-sann1-zap1","每月二號、三號…十號。"
"腳后","ka2-au3-(denn1/dinn1)","腳跟，“”又作“靪”。"
"一腳皮箱","zit3-ka2-(pue2/pe2)-(siunn1/sionn1)","一只皮箱。“二腳籃仔”（lng3-ka2-na2-a4）兩個籃子。"
"火星","(hue1/he1)-cinn1","小火星、火花。"
"旋渦","suan2-or1","流體因旋轉形成的螺旋形部分，“捲入旋渦”（(guan1/gng1)-rip3-suan2-or1）比喻牽累到某事件，口語說“捲螺仔”（gng1-le2-a4）。“捲螺仔水”（gng1-le2-a1-zui4）旋渦式的水流。"
"迎媽祖","ngia2-ma1-zo4","把媽祖神像抬到街上去遊行。"
"隔日","geh1-rit1","即翌日，口語說“隔工”（geh1-gang1）或“隔轉工”（geh1-dng1-gang1）。"
"一港風","zit3-gang1-hong1","一股風。"
"美援","bhi1-uan2","美國的援助，喻沒成本的東西之意。"
"拍結","pah1-gat2","打結，“拍結球”（pah-gat1-giu5）纏繞成團，如“線拍結球”（suann3-pah1-gat1-giu5）“心肝拍結球”（sim2-guann1-pah1-gat1-giu5）心悶不開。"
"赤腳","ciah1-ka1","裸足，“赤腳仔”（ciah-ka2-a4）指沒執照的醫療人員，又說“赤腳仔先”（ciah1-ka2-a1-sian1）又“赤腳仔醫生”（ciah1-ka2-a1-i2-sing1）。"
"不倫不類","but1-lun5-but1-lui2","喻不像樣，不合規範，口語說“不八不七”（but1-bat1-but1-cit2），按（but1-bat2）訛成（but1-lap2）誤聽為（but1-dap2）故又作“不答不七”。"
"煮-gah-大碗細碗","zu1-gah1-dua3-uann1-se4-uann4","喻備辦了各色各樣的菜。"
"囝仔栽","ghin1-a1-zai1","指年幼小孩，如“害死囝仔栽”（hai3-si1-ghin1-a1-zai1）例如誘使小孩喝酒就是“害死囝仔栽”。"
"孔孟","kong1-bhing2","指孔子和孟子，儒家（教）的代表。"
"嚷-gah-大細聲","riong1-gah1-dua3-(se4/sue4)-siann1","叫喊得厲害。"
"-moh-鼻","moh1-pinn2","鼻頭部分扁平的鼻子，（moh2）或作“膜”。"
"諾，我來去","lok3-ghua1-lai2-ki3","好的，我去。"
"毋拘…","m3-gu1","不過、但是，又“抑毋拘…”（ah3-m3-gu…）。"
"敢來","gann1-lai5","不遲疑地敢來。"
"嗯？汝講啥？","ng5-li1-gong1-siann4","嗯，你講什麼？"
"豈有此理","ki1-iu1-cu1-li4","哪有這個道理，按豈有的口語是“敢有”（(gann1/gam1)-u2），“敢有這號道理”（gann1-u3-zit1-hor3-dor3-li4）。"
"吼-gah-目屎四湳垂","hau1-gah1-bhak3-sai4-si4-lam2-sui5","哭得滿臉淚水。"
"-bhai--gah--(bhe/bhue)-坐得火車","bhai1-gah1-(bhe3/bhue3)-ze3-dit1-hue1-cia1","喻長得很醜。"
"腹肚忝-gah-蝹落去","bak1-do4-tiann4-gah1-un1-lorh0-ki0","肚子痛得坐臥下去。"
"哮-gah-大細聲","hau1-gah1-dua3-se4-siann1","哭叫得厲害。"
"會使看，不過，-(bhe/bhue)-使摸","e3-sai1-kuann3-but1-gor3-bhue3-sai1-bhong1","可以看，但是，不可以摸。"
"有當食有當睏","u3-dang4-ziah1-u3-dang4-kun3","有得吃、有得睡。"
"頂司管下司、鋤頭管糞箕","ding1-si1-guan1-e3-si1-(di2/du2)-tau5-guan1-bun4-gi1","喻一級管一級。"
"真…","zin1",
"台灣料理","taiwan1-liau3-li4","即台灣菜。"
"吼-gah-大細聲","hau1-gah1-dua3-se4-siann1","哭得聲音很大，"
"廣東","gng1-dang1",
"除了…","di2-liau1","若非。"
"聽講汝卜去美國","tiann2-gong1-li1-(bheh1/bhueh1)-ki4-bhi1-gok2","聽說你要去美國。"
"米升","bhi1-zin1","量米用的升。酒升（ziu1-zin1）、水升（zui1-zin1）等。其餘通用的讀音為文言音（sing1）意為往高處移動。"
"我〔曾〕八去美國","ghua1-bhat1-ki4-bhi1-gok2",
"歹人","painn1-lang5",
"法語","huat1-(ghi4/ghu4)",
"亂使…","luan3-su1",
"媽祖足靈感","ma1-zo4-ziok1-ling2-gam4","媽祖很靈驗，靈聖。"
"打狗","dann1-gau4",
"親像仙丹，藥到病除","cin2-ciunn3-sen2-dan1-iorh1-gau3-(benn2/binn2)-du5",
"闊嘴za2-bo食四方","kuah1-cui3-za2-bo1-ziah3-si4-hng1","，闊嘴的男人到處有的吃。"
"考試無及格，覺悟互人罵","kor1-ci3-bhor2-gip3-geh2-gak1-ngo3-ho3-lang2-me2","考試不及格，肯定會挨罵的。"
"水-gah-像仙女","sui1-gah1-ciunn3-sen2-lu4","像仙女般美麗。"
"抑毋拘…","ah3-m3-gu1",
"是汝，我掠叫／做／準是啥人","si3-li4-ghua1-liah3-zun1-si3-siann1-lang5","是你，我以為是誰！"
"福佬","hok1-lor4","福建人，特指福建南部的人，亦即閩南人的通稱。"
"一衫","zit3-sann1","衫；一件衣衫。"
"一蓆","zit3-ciorh1","蓆；一件蓆子。"
"神經衰弱","sin2-ging1-sue2-(riok1/liok1)",
"小楷","siau1-kai4","小的楷體漢字。"
"小於","sior1-u5","“等於”（ding1-u5）。"
"華裔","hua2-e3","中國人的後裔。"
"生做香香仔","(senn2/sinn2)-zor4-hiunn2-hiunn1-a0","長得纖細瘦弱。"
"割讓","guah1-(riong2/liong2)","分割一部分的領土給別的國家（戰勝國）。"
"殘餘","zan2-(i1/u5)","剩餘。"
"嘴","cui4-(pe4/pue4)","頰部，“”又作“”，即嘴巴。"
"畜生","tik1-(senn1/sinn1)","泛指禽獸。"
"狗母鍋","gau1-(bhor1/bhu1)-ue2","陶質鼓形鍋子，適於鹵肉等用。"
"番仔火","huan2-a1-(hue4/he4)","洋火。"
"疼愛","tiann4-ai3","關切愛護。"
"即帶仔","zit1-de1-a4",
"-in-個個是英雄好漢","in2-gor4-gor3-si3-ing2-hiong5-hor1-han3","他們每個人都是英雄好漢。-in-即他們。"
"采邑","cai1-ip2",
"孤軍奮鬥","go2-gun1-hun4-(do3/dau3)",
"受人左右","siu3-lang2-zor1-iu2","被他人所控制。"
"範圍","huan3-ui5","四周圍的界限。"
"益母草","(ah1/iah1)-bhu1-cau4","，一般通用文言音（ik2）。"
"飯鍋","bng3-ue1",
"拍噗仔","pah1-pok2-a4",
"酒漏仔","ziu1-lau2-a4",
"行桃花運","giann2-tor2-hue2-un2","走桃花運，與女人有緣。"
"我若有講會腫頷","ghua1-na3-u3-gong4-e3-zing1-am2","我如果說過，脖子會腫大（甘願受處罰）。按說"
"膏麻仔","gor2-mua2-a4","沾胡麻。"
"基本的","gi2-bun1-dik1","基本上。"
"來的早","lai2-dit1-za4",
"紅的","ang5-e0",
"芳的","pang1-e0","香的。"
"新的","sin1-e0",
"雄的","hiong5-e0","阿雄。"
"老李的","lau1-li4-e0","老李。"
"陳的","dan5-e0","陳兄。"
"教冊的","ga4-ceh2-e0","教員。"
"走桌的","zau1-dorh2-e0","跑堂，端盤子的人。"
"做工的","zor4-gang1-e0","工人。"
"換帖的","uann3-tiap2-e0","結拜兄弟。"
"我的","ghua1-e5",
"汝的","li1-e5","你的。"
"銀的花","ghin5-e2-hue1","銀質的花。"
"誰人的冊","siann1-lang5-e2-ceh2","誰的書本。"
"厝邊的人","cu4-binn1-e2-lang5","鄰人。"
"的確","dik1-kak2","確實、實在。"
"的當","dik1-dong3","恰當、合適，口語說“拄好”（du1-hor4）或“合”（hah1）。"
"目的","bhok3-dik1","“目的地”bhok3-dik3-de2。"
