"識別碼","CHINESE","TAIWANESE","ForPA","TLPA"
1,"Ａ菜","萵仔菜","ue1-a4-cai3","ue1-a2-chai3"
2,"Ａ錢","歪篙錢","uai1-ger1-zinn5","uai1-ko1-cinn5"
3,"Ａ錢","撚錢","len4-zinn5","lian2-cinn5"
4,"Ｋ金","分金","hun1-gim1","hun1-kim1"
5,"Ｋ金","草金","cau4-gim1","chau2-kim1"
6,"Ｘ光","電光","den2-gong1","tian7-kong1"
7,"一一","一e5一e5","zit6-e5-zit6-e5","cit8-e5-cit8-e5"
8,"一丁點兒","一絲絲仔","zit6-si1-si1-a4","cit8-si1-si1-a2"
9,"一丁點兒","一點點仔","zit6-diam4-diam4-a4","cit8-tiam2-tiam2-a2"
10,"一丁點兒","一疕疕仔","zit6-pi4-pi4-a4","cit8-phi2-phi2-a2"
11,"一了百了","萬事卸落大海","bhan2-su2-sia3-lerh6-dai2-hai4","ban7-su7-sia3-loh8-tai7-hai2"
12,"一人一把號,-各吹各的調","一人講一話","zit6-lang5-gong4-zit6-ue2","cit8-lang5-kong2-cit8-ue7"
13,"一人班","雜差兼管家","zap6-ce1-giam1-guan4-ge1","cap8-che1-kiam1-kuan2-ke1"
14,"一刀兩斷","一刀兩斷","it7-der1-liong4-duan2","it4-to1-liong2-tuan7"
15,"一下子","一下仔","zit6-e2-a4","cit8-e7-a2"
16,"一下子","一下仔囝","zit6-e2-a4-giann4","cit8-e7-a2-kiann2"
17,"一下子","一時仔","zit6-si5-a4","cit8-si5-a2"
18,"一下子","一睏","zit6-kun3","cit8-khun3"
19,"一下子","一睏仔","zit6-kun3-a4","cit8-khun3-a2"
20,"一下子","忽一下","hut7-zit6-e2","hut4-cit8-e7"
21,"一下子","做一時","zer3-zit6-si5","co3-cit8-si5"
22,"一丈紅","一丈紅","it7-diong2-hong5","it4-tiong7-hong5"
23,"一丈紅","柑盤花","gam1-buann5-hue1","kam1-puann5-hue1"
24,"一口吞下","合一下吞落","gap6-zit6-e2-tun1-lerh6","kap8-cit8-e7-thun1-loh8"
25,"一口吞下","做一喙","zer3-zit6-cui3","co3-cit8-chui3"
26,"一口氣","一下","zit6-e2","cit8-e7"
27,"一口氣","一氣","zit6-kui3","cit8-khui3"
28,"一口氣","一喙氣","zit6-cui3-kui3","cit8-chui3-khui3"
29,"一口氣","一睏","zit6-kun3","cit8-khun3"
30,"一口氣","一睏手","zit6-kun3-ciu4","cit8-khun3-chiu2"
31,"一口氣","直氣","dit6-kui3","tit8-khui3"
32,"一口氣","直喉","dit6-au5","tit8-au5"
33,"一口氣","做一下","zer3-zit6-e2","co3-cit8-e7"
34,"一口氣","做一氣","zer3-zit6-kui3","co3-cit8-khui3"
35,"一女事二夫","一馬掛雙鞍","it7-ma4-gua3-siang1-uann1","it4-ma2-kua3-siang1-uann1"
36,"一女事二夫","一e5查某囝允兩e5親情","zit6-e5-za5-bho4-giann4-in4-nng2-e5-cin1-ziann5","cit8-e5-ca5-boo2-kiann2-in2-nng7-e5-chin1-ciann5"
37,"一小撮","一簇仔","zit6-cok7-a4","cit8-chok4-a2"
38,"一山不容二虎","一e5山頭","zit6-e5-suann1-tau5","cit8-e5-suann1-thau5"
39,"一山不容二虎","一隻鷓鴣","zit6-ziah7-zia3-go1","cit8-ciah4-cia3-koo1"
40,"一山還比一山高","天外有天","tinn1-ghua2-u2-tinn1","thinn1-gua7-u7-thinn1"
41,"一山還比一山高","人外有人","lang5-ghua2-u2-lang5","lang5-gua7-u7-lang5"
42,"一山還比一山高","拳頭高高在上","gun5-tau5-ger1-ger1-zai2-siong2","kun5-thau5-ko1-ko1-cai7-siong7"
43,"一不作,-二不休","一不作","it7-but7-zok7","it4-put4-cok4"
44,"一不作,-二不休","二不休","ri2-but7-hiu1","ji7-put4-hiu1"
45,"一不作,-二不休","一點也貓","zit6-diam4-ia2-niau1","cit8-tiam2-ia7-niau1"
46,"一不作,-二不休","百點也貓","bah7-diam4-ia2-niau1","pah4-tiam2-ia7-niau1"
47,"一五一十","一五一十","it7-gho2-it7-zap6","it4-goo7-it4-cap8"
48,"一五一十","一五二貫七","it7-gho2-ri2-guan3-cit7","it4-goo7-ji7-kuan3-chit4"
49,"一五一十","一孔一隙","zit6-kang1-zit6-kiah7","cit8-khang1-cit8-khiah4"
50,"一介不取","直草無拈","dit6-cau4-bher5-ni1","tit8-chau2-bo5-ni1"
51,"一介不取","橫草無捻","huainn5-cau4-bher5-liam3","huainn5-chau2-bo5-liam3"
52,"一分耕耘,-一分收穫","有工就有夫","u2-gang1-ziu2-u2-hu1","u7-kang1-ciu7-u7-hu1"
53,"一分耕耘,-一分收穫","有食有行氣","u2-ziah6-u2-giann5-ki3","u7-ciah8-u7-kiann5-khi3"
